Taxon	238322001677.P1	238322001964.P2	238322002045.P3	238322001915.P4	238322001588.K1	238322000220.K2	238322000983.K3	238322001364.K4	238322001495.L1	238322001218.L2	236191003825.L3	236191002984.L4	236191003814.W1	236191002875.W2	236191003850.W3	236191003556.W4	236191002863.CTL1	236191003484.CTL2
g__Anaerotignum;s__Anaerotignum faecicola	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001451	0.000000	0.000000	0.000000	0.000000
g__Acetatifactor;s__Acetatifactor sp900066565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004622	0.000000	0.000000	0.000000	0.000000
g__Anaerobutyricum;s__Anaerobutyricum hallii	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001531	0.000000	0.000000	0.000000	0.000000
g__Anaerostipes;s__Anaerostipes hadrus_A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003021	0.000000	0.000000	0.000000	0.000000
g__Bariatricus;s__Bariatricus comes	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001240	0.000000	0.000000	0.000000	0.000000
g__Blautia_A;s__Blautia_A massiliensis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002871	0.000000	0.000000	0.000000	0.000000
g__Blautia_A;s__Blautia_A sp900120195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000840	0.000000	0.000000	0.000000	0.000000
g__Blautia_A;s__Blautia_A wexlerae	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001801	0.000000	0.000000	0.000000	0.000000
g__Coprococcus_A;s__Coprococcus_A catus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001290	0.000000	0.000000	0.000000	0.000000
g__Dorea;s__Dorea formicigenerans	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002011	0.000000	0.000000	0.000000	0.000000
g__Dorea_A;s__Dorea_A longicatena_B	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002611	0.000000	0.000000	0.000000	0.000000
g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000960	0.000000	0.000000	0.000000	0.000000
g__KLE1615;s__KLE1615 sp900066985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001451	0.000000	0.000000	0.000000	0.000000
g__Mediterraneibacter;s__Mediterraneibacter faecis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001481	0.000000	0.000000	0.000000	0.000000
g__Oliverpabstia;s__Oliverpabstia intestinalis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001210	0.000000	0.000000	0.000000	0.000000
g__Roseburia;s__Roseburia hominis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001320	0.000000	0.000000	0.000000	0.000000
g__CAG-177;s__CAG-177 sp003514385	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003791	0.000000	0.000000	0.000000	0.000000
g__CAG-103;s__CAG-103 sp000432375	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000680	0.000000	0.000000	0.000000	0.000000
g__CAG-170;s__CAG-170 sp000432135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000980	0.000000	0.000000	0.000000	0.000000
g__CAG-170;s__CAG-170 sp900545925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001260	0.000000	0.000000	0.000000	0.000000
g__CAG-83;s__CAG-83 sp000435975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006062	0.000000	0.000000	0.000000	0.000000
g__CAG-83;s__CAG-83 sp900552475	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000770	0.000000	0.000000	0.000000	0.000000
g__Dysosmobacter;s__Dysosmobacter sp001916835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002481	0.000000	0.000000	0.000000	0.000000
g__ER4;s__ER4 sp000765235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006763	0.000000	0.000000	0.000000	0.000000
g__Evtepia;s__Evtepia gabavorous	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001340	0.000000	0.000000	0.000000	0.000000
g__Faecousia;s__Faecousia sp003525905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001421	0.000000	0.000000	0.000000	0.000000
g__Faecalibacterium;s__Faecalibacterium prausnitzii	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006292	0.000000	0.000000	0.000000	0.000000
g__Faecalibacterium;s__Faecalibacterium prausnitzii_A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002271	0.000000	0.000000	0.000000	0.000000
g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002591	0.000000	0.000000	0.000000	0.000000
g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001130	0.000000	0.000000	0.000000	0.000000
g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002031	0.000000	0.000000	0.000000	0.000000
g__Faecalibacterium;s__Faecalibacterium prausnitzii_J	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001971	0.000000	0.000000	0.000000	0.000000
g__Faecalibacterium;s__Faecalibacterium sp900539945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000710	0.000000	0.000000	0.000000	0.000000
g__Faecalibacterium;s__Faecalibacterium sp905215595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001511	0.000000	0.000000	0.000000	0.000000
g__Gemmiger;s__Gemmiger formicilis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001741	0.000000	0.000000	0.000000	0.000000
g__Gemmiger;s__Gemmiger sp900540775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001781	0.000000	0.000000	0.000000	0.000000
g__Negativibacillus;s__Negativibacillus massiliensis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001140	0.000000	0.000000	0.000000	0.000000
g__Ruminococcus_C;s__Ruminococcus_C sp000980705	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002181	0.000000	0.000000	0.000000	0.000000
